pair,scope,state,n,coverage,coverage_ci_lo,coverage_ci_hi,abstention
EURUSD,block6_confirmation,calm,95,0.7684210526315789,0.6526315789473685,0.8844736842105261,0.736842105263158
EURUSD,block6_confirmation,normal,80,0.8,0.7125,0.8875,0.9125
EURUSD,block6_confirmation,turbulent,147,0.6190476190476191,0.48299319727891155,0.7346938775510204,0.40816326530612246
EURUSD,blocks1-5_exploratory,calm,1033,0.8393030009680542,0.8063649564375605,0.8693126815101646,0.9496611810261375
EURUSD,blocks1-5_exploratory,normal,517,0.8239845261121856,0.781431334622824,0.8665377176015474,0.941972920696325
EURUSD,blocks1-5_exploratory,turbulent,334,0.8323353293413174,0.7664670658682635,0.8892964071856286,0.9281437125748503
USDINR,block6_confirmation,calm,90,0.9222222222222223,0.8222222222222222,0.9888888888888889,0.9777777777777777
USDINR,block6_confirmation,normal,162,0.9691358024691358,0.9259259259259259,0.9938271604938271,0.9876543209876543
USDINR,block6_confirmation,turbulent,70,0.9857142857142858,0.9571428571428572,1.0,1.0
USDINR,blocks1-5_exploratory,calm,859,0.7636786961583236,0.7182770663562281,0.8055878928987195,0.9604190919674039
USDINR,blocks1-5_exploratory,normal,399,0.8020050125313283,0.7367794486215539,0.8646616541353384,0.9298245614035088
USDINR,blocks1-5_exploratory,turbulent,626,0.7188498402555911,0.6549520766773163,0.7859424920127795,0.8482428115015974
USDJPY,block6_confirmation,calm,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0
USDJPY,block6_confirmation,normal,164,0.9085365853658537,0.8658536585365854,0.9634146341463414,1.0
USDJPY,block6_confirmation,turbulent,145,0.6551724137931034,0.5586206896551724,0.7517241379310344,0.9586206896551724
USDJPY,blocks1-5_exploratory,calm,859,0.7636786961583236,0.7159487776484285,0.8067520372526193,0.860302677532014
USDJPY,blocks1-5_exploratory,normal,455,0.7450549450549451,0.6813186813186813,0.810989010989011,0.8615384615384616
USDJPY,blocks1-5_exploratory,turbulent,570,0.8315789473684211,0.7964473684210527,0.8771929824561403,0.9719298245614035
