date,score,label,n_hits,doc_type,method
2015-01-28,0.0,neutral,4,FOMC statement,lexicon-v1
2015-03-18,-0.2,dovish,5,FOMC statement,lexicon-v1
2015-04-29,-0.667,dovish,6,FOMC statement,lexicon-v1
2015-06-17,-0.333,dovish,3,FOMC statement,lexicon-v1
2015-07-29,-0.333,dovish,3,FOMC statement,lexicon-v1
2015-09-17,-0.333,dovish,3,FOMC statement,lexicon-v1
2015-10-28,0.0,neutral,4,FOMC statement,lexicon-v1
2015-12-16,-0.5,dovish,4,FOMC statement,lexicon-v1
2016-01-27,-0.6,dovish,5,FOMC statement,lexicon-v1
2016-03-16,-0.5,dovish,4,FOMC statement,lexicon-v1
2016-04-27,-0.5,dovish,4,FOMC statement,lexicon-v1
2016-06-15,-1.0,dovish,2,FOMC statement,lexicon-v1
2016-07-27,-1.0,dovish,3,FOMC statement,lexicon-v1
2016-09-21,-1.0,dovish,2,FOMC statement,lexicon-v1
2016-11-02,-1.0,dovish,2,FOMC statement,lexicon-v1
2016-12-14,-0.333,dovish,3,FOMC statement,lexicon-v1
2017-02-01,-1.0,dovish,2,FOMC statement,lexicon-v1
2017-03-15,-0.333,dovish,3,FOMC statement,lexicon-v1
2017-05-03,-1.0,dovish,4,FOMC statement,lexicon-v1
2017-06-14,-0.333,dovish,3,FOMC statement,lexicon-v1
2017-07-26,-1.0,dovish,1,FOMC statement,lexicon-v1
2017-09-20,-1.0,dovish,1,FOMC statement,lexicon-v1
2017-11-01,-1.0,dovish,1,FOMC statement,lexicon-v1
2017-12-13,0.0,neutral,2,FOMC statement,lexicon-v1
2018-01-31,-1.0,dovish,1,FOMC statement,lexicon-v1
2018-03-21,0.0,neutral,2,FOMC statement,lexicon-v1
2018-05-02,-1.0,dovish,2,FOMC statement,lexicon-v1
2018-06-13,0.0,neutral,2,FOMC statement,lexicon-v1
2018-08-01,-1.0,dovish,1,FOMC statement,lexicon-v1
2018-09-26,1.0,hawkish,1,FOMC statement,lexicon-v1
2018-11-08,0.0,neutral,0,FOMC statement,lexicon-v1
2018-12-19,1.0,hawkish,1,FOMC statement,lexicon-v1
2019-01-30,-1.0,dovish,2,FOMC statement,lexicon-v1
2019-03-20,-1.0,dovish,2,FOMC statement,lexicon-v1
2019-05-01,-0.333,dovish,3,FOMC statement,lexicon-v1
2019-06-19,0.0,neutral,2,FOMC statement,lexicon-v1
2019-07-31,-0.333,dovish,3,FOMC statement,lexicon-v1
2019-09-18,-0.5,dovish,4,FOMC statement,lexicon-v1
2019-10-11,0.0,neutral,0,FOMC statement,lexicon-v1
2019-10-30,-0.5,dovish,4,FOMC statement,lexicon-v1
2019-12-11,-0.333,dovish,3,FOMC statement,lexicon-v1
2020-01-29,-0.333,dovish,3,FOMC statement,lexicon-v1
2020-03-03,-1.0,dovish,1,FOMC statement,lexicon-v1
2020-03-15,-1.0,dovish,3,FOMC statement,lexicon-v1
2020-03-23,0.0,neutral,0,FOMC statement,lexicon-v1
2020-03-31,0.0,neutral,0,FOMC statement,lexicon-v1
2020-04-29,-1.0,dovish,2,FOMC statement,lexicon-v1
2020-06-10,-1.0,dovish,2,FOMC statement,lexicon-v1
2020-07-29,-1.0,dovish,2,FOMC statement,lexicon-v1
2020-08-27,1.0,hawkish,1,FOMC statement,lexicon-v1
2020-09-16,-1.0,dovish,4,FOMC statement,lexicon-v1
2020-11-05,-1.0,dovish,5,FOMC statement,lexicon-v1
2020-12-16,-1.0,dovish,5,FOMC statement,lexicon-v1
2021-01-27,-1.0,dovish,6,FOMC statement,lexicon-v1
2021-03-17,-1.0,dovish,6,FOMC statement,lexicon-v1
2021-04-28,-1.0,dovish,5,FOMC statement,lexicon-v1
2021-06-16,-1.0,dovish,5,FOMC statement,lexicon-v1
2021-07-28,-1.0,dovish,4,FOMC statement,lexicon-v1
2021-09-22,-0.6,dovish,5,FOMC statement,lexicon-v1
2021-11-03,-0.667,dovish,6,FOMC statement,lexicon-v1
2021-12-15,-1.0,dovish,4,FOMC statement,lexicon-v1
2022-01-26,-0.6,dovish,5,FOMC statement,lexicon-v1
2022-03-16,1.0,hawkish,3,FOMC statement,lexicon-v1
2022-05-04,1.0,hawkish,4,FOMC statement,lexicon-v1
