pair,model,scope,n,balanced_accuracy,macro_f1,brier
EURUSD,B0,block6_confirmation,322,0.3441125471641904,0.3444628765729683,0.6504746039929182
EURUSD,B1,block6_confirmation,322,0.4083035726228214,0.3655850525832213,0.6149386266140745
EURUSD,B2,block6_confirmation,322,0.36184585715102147,0.3303786340396003,0.796794384956245
EURUSD,B0,blocks1-5_exploratory,1884,0.3134722634722635,0.3134645198837615,0.6376816709931814
EURUSD,B1,blocks1-5_exploratory,1884,0.34755469755469753,0.31955701607225034,0.6676408963711229
EURUSD,B2,blocks1-5_exploratory,1884,0.3283519783519784,0.3269800215076301,0.8991202537375922
USDINR,B0,block6_confirmation,322,0.3173787446283202,0.31727963164427253,0.643252744350733
USDINR,B1,block6_confirmation,322,0.33184792004825964,0.29570405727923627,0.651395254190315
USDINR,B2,block6_confirmation,322,0.37651013389553284,0.37534774593598125,0.8339413435105796
USDINR,B0,blocks1-5_exploratory,1884,0.36140791697765523,0.36170233204963625,0.660048901184175
USDINR,B1,blocks1-5_exploratory,1884,0.3463594454579582,0.33598972432473967,0.692165444201426
USDINR,B2,blocks1-5_exploratory,1884,0.3274409346528324,0.3229962926006229,0.8973128264065529
USDJPY,B0,block6_confirmation,322,0.31220270200852723,0.3114363342995934,0.6580286984253019
USDJPY,B1,block6_confirmation,322,0.3280594510367973,0.22338956298707704,0.6608626669695201
USDJPY,B2,block6_confirmation,322,0.36823256451088165,0.3518211550911973,0.827352028016516
USDJPY,B0,blocks1-5_exploratory,1884,0.3215204042655824,0.3216904166209755,0.6426101731040892
USDJPY,B1,blocks1-5_exploratory,1884,0.3259276808187581,0.2892509640898091,0.6678261787797939
USDJPY,B2,blocks1-5_exploratory,1884,0.3182082969843025,0.3066369458818549,0.8819835110989405
