pair,model,state,n,balanced_accuracy,macro_f1,brier
EURUSD,B0,calm,1128,0.2886901201507943,0.28910154702893814,0.6229828009424037
EURUSD,B0,normal,597,0.35182045773951703,0.3514552759498335,0.6455457462616584
EURUSD,B0,turbulent,481,0.31201270364894657,0.31281038262073,0.6709556770387357
EURUSD,B1,calm,1128,0.3397344695586024,0.2852166738949457,0.6485474491604837
EURUSD,B1,normal,597,0.35430421868165335,0.32705795496493173,0.6681427225486569
EURUSD,B1,turbulent,481,0.33731323807659686,0.3179110083747916,0.6765134272730845
EURUSD,B2,calm,1128,0.32045124131103614,0.3117340788746014,0.8711547809654059
EURUSD,B2,normal,597,0.3219116972363257,0.3186086631777547,0.9208239136969589
EURUSD,B2,turbulent,481,0.3358203547383767,0.3349881573095661,0.8692637850134557
EURUSD,N1,calm,1128,0.32276377501096604,0.3180903716444403,0.8634589343243345
EURUSD,N1,normal,597,0.33960891142394534,0.34038815974946185,0.9232484184131449
EURUSD,N1,turbulent,481,0.29612274119409865,0.29454367326894354,0.893348051249366
USDINR,B0,calm,949,0.37320140707357297,0.37340124518589124,0.6518354793344924
USDINR,B0,normal,561,0.3373072016023684,0.33722414244354687,0.6533056154920419
USDINR,B0,turbulent,696,0.3397096299358037,0.34020491079314613,0.668912634098352
USDINR,B1,calm,949,0.3292781832927818,0.2834593795166549,0.6737914755635902
USDINR,B1,normal,561,0.3397693233239103,0.32007131018679824,0.6795358932686348
USDINR,B1,turbulent,696,0.35695357488661267,0.35482663599323594,0.7085362389241621
USDINR,B2,calm,949,0.34731566458360597,0.338774613319256,0.8826039878392147
USDINR,B2,normal,561,0.2792627016297141,0.2793916692221777,0.9304352813183162
USDINR,B2,turbulent,696,0.3539606171210039,0.34423639433860237,0.8613521555766696
USDINR,N1,calm,949,0.3393233061536143,0.33825507925756293,0.8673281591030761
USDINR,N1,normal,561,0.29302644284434737,0.29210931199867884,0.9307257016018704
USDINR,N1,turbulent,696,0.35261662617525863,0.34188168489023346,0.8532352174672214
USDJPY,B0,calm,872,0.2712811330500032,0.27111986396791754,0.6306449662631621
USDJPY,B0,normal,619,0.36267374511165995,0.3628564315649287,0.6590485472593394
USDJPY,B0,turbulent,715,0.34016867765487646,0.339102999687418,0.649915168791668
USDJPY,B1,calm,872,0.3305558190768323,0.29355728530187913,0.6619283789158289
USDJPY,B1,normal,619,0.33064852513635895,0.27059602508687175,0.6818821906762876
USDJPY,B1,turbulent,715,0.31731792260011665,0.2795692351505688,0.6597142337651638
USDJPY,B2,calm,872,0.33112959936611697,0.3131928235532775,0.8360808843678023
USDJPY,B2,normal,619,0.34339857016054337,0.3217878453406935,0.865294690664474
USDJPY,B2,turbulent,715,0.29337410303057904,0.2888034678582017,0.9278102702680969
USDJPY,N1,calm,872,0.33172277084368773,0.31501020410292585,0.8391379457291726
USDJPY,N1,normal,619,0.3496713234537409,0.3411662437132923,0.8483462687441926
USDJPY,N1,turbulent,715,0.31086321821318535,0.2952097987897145,0.9060523846702119
