pair,horizon,model,n,qlike,mae_log,rmse_log,hi_precision,hi_recall,hi_calls,hi_actual
EURUSD,1w,rw,426,0.8403,0.4138,0.5355,0.574,0.582,197,194
EURUSD,1w,har,426,0.3604,0.3292,0.4241,0.597,0.68,221,194
EURUSD,1w,har_ml,426,0.4157,0.3456,0.4471,0.557,0.655,228,194
EURUSD,1m,rw,97,0.181,0.2281,0.2891,0.617,0.674,47,43
EURUSD,1m,har,97,0.153,0.2298,0.2815,0.571,0.744,56,43
EURUSD,1m,har_ml,97,0.2194,0.2652,0.3259,0.51,0.605,51,43
USDINR,1w,rw,426,1.7206,0.5081,0.6706,0.63,0.63,208,208
USDINR,1w,har,426,0.8406,0.4243,0.5684,0.645,0.663,214,208
USDINR,1w,har_ml,426,0.9904,0.475,0.6289,0.582,0.663,237,208
USDINR,1m,rw,97,0.6265,0.3672,0.487,0.761,0.729,46,48
USDINR,1m,har,97,0.4884,0.3596,0.4757,0.66,0.688,50,48
USDINR,1m,har_ml,97,0.4646,0.3557,0.4685,0.627,0.771,59,48
USDJPY,1w,rw,426,1.1303,0.473,0.6083,0.608,0.614,204,202
USDJPY,1w,har,426,0.5496,0.3913,0.4954,0.611,0.614,203,202
USDJPY,1w,har_ml,426,0.6617,0.4137,0.5297,0.582,0.649,225,202
USDJPY,1m,rw,97,0.3353,0.2907,0.3764,0.581,0.581,43,43
USDJPY,1m,har,97,0.2586,0.2795,0.3453,0.527,0.674,55,43
USDJPY,1m,har_ml,97,0.3701,0.3174,0.397,0.609,0.651,46,43
